,datetime_utc,o3_dpw,o3_pema,o3_pha,mean_o3,std_o3,rsd_o3
1619,2025-02-22 11:00:00+00:00,38.45335,38.385933333333334,37.7258,38.18836111111111,0.4020053953249518,0.010526908817985021
1620,2025-02-22 12:00:00+00:00,40.69005,40.037866666666666,40.44611666666666,40.391344444444435,0.3295235535053823,0.008158271482114681
1621,2025-02-22 13:00:00+00:00,42.259933333333336,41.424216666666666,42.12028333333333,41.93481111111111,0.44766677970131896,0.010675302161613994
1623,2025-02-22 15:00:00+00:00,44.90318333333333,45.34631666666667,45.52495,45.25815,0.32012258242394864,0.007073258240205325
1624,2025-02-22 16:00:00+00:00,46.07033333333334,46.24055,46.59981666666667,46.303566666666676,0.27030811174986513,0.0058377384553500574
1625,2025-02-22 17:00:00+00:00,48.21206666666667,47.611149999999995,48.4363,48.08650555555556,0.42666418304399145,0.008872846510983325
1626,2025-02-22 18:00:00+00:00,49.144283333333334,48.579166666666666,49.01501666666666,48.91282222222222,0.2960945627541857,0.0060535162213490755
1627,2025-02-22 19:00:00+00:00,49.35,48.90388333333333,49.53038333333333,49.26142222222222,0.32250593721207244,0.00654682554143935
1628,2025-02-22 20:00:00+00:00,49.709050000000005,49.55535,49.91806666666666,49.72748888888888,0.18205998884169022,0.0036611538790644574
1629,2025-02-22 21:00:00+00:00,49.31955000000001,48.46275,48.986666666666665,48.92298888888889,0.4319348382997598,0.008828872644734476
1642,2025-02-23 10:00:00+00:00,31.218466666666664,31.53355,31.602,31.451338888888888,0.20455672694154492,0.00650391157159324
1645,2025-02-23 13:00:00+00:00,38.83841666666667,38.3535,38.738033333333334,38.643316666666664,0.25595796258587505,0.006623602337080497
1646,2025-02-23 14:00:00+00:00,44.49718333333333,43.501216666666664,43.6186,43.87233333333334,0.544309520044534,0.012406669048326598
1647,2025-02-23 15:00:00+00:00,46.27035,45.120866666666664,45.426633333333335,45.60595,0.5953518569813251,0.013054258424203971
1648,2025-02-23 16:00:00+00:00,47.091750000000005,47.497033333333334,47.27635,47.28837777777778,0.20290920542978683,0.004290889537029961
1649,2025-02-23 17:00:00+00:00,49.21875,48.99796666666667,49.600516666666664,49.272411111111104,0.30483809105696974,0.006186790623449472
1650,2025-02-23 18:00:00+00:00,50.52838333333333,49.91506666666667,51.058083333333336,50.50051111111111,0.572017849938399,0.01132697149697845
1651,2025-02-23 19:00:00+00:00,51.317483333333335,51.23938333333333,51.93733333333333,51.49806666666666,0.38241509624141623,0.007425814617793088
1652,2025-02-23 20:00:00+00:00,51.76285,51.4829,52.17136666666667,51.80570555555556,0.34622830149954614,0.006683207916708262
1653,2025-02-23 21:00:00+00:00,50.8305,50.7865,50.71831666666667,50.77843888888888,0.056524430149305555,0.001113158092019918
1673,2025-02-24 17:00:00+00:00,50.12546666666666,49.221016666666664,49.72633333333333,49.69093888888889,0.4532626453262466,0.009121635764213707
1675,2025-02-24 19:00:00+00:00,51.0443,49.98043333333333,50.29976666666666,50.4415,0.5459114620929352,0.010822665108946704
1679,2025-02-24 23:00:00+00:00,47.86861666666667,48.19413333333333,48.9491,48.337283333333325,0.5542833213057904,0.011466993655465892
1680,2025-02-25 00:00:00+00:00,46.82941666666667,47.4108,46.79931666666666,47.01317777777778,0.34467967187477894,0.007331554431483302
1681,2025-02-25 01:00:00+00:00,46.142466666666664,46.19441666666667,45.15165,45.82951111111111,0.5876193198769037,0.012821854425901539
1713,2025-02-26 09:00:00+00:00,39.29488333333334,38.5321,38.30335,38.71011111111111,0.5191825830447697,0.013412066463837836
1717,2025-02-26 13:00:00+00:00,41.33658333333334,41.48726666666666,41.745916666666666,41.52325555555555,0.20702619287673807,0.004985789050180562
1718,2025-02-26 14:00:00+00:00,43.36281666666666,44.28185,44.18293333333334,43.94253333333334,0.5044796199495565,0.01148044005844504
1722,2025-02-26 18:00:00+00:00,48.593,48.081783333333334,49.45923333333334,48.71133888888889,0.6963082615426839,0.014294582687020179
1724,2025-02-26 20:00:00+00:00,48.61545,48.86188333333334,49.76685,49.08139444444445,0.6062749672598418,0.012352439740604525
1725,2025-02-26 21:00:00+00:00,49.26345,49.506,49.688116666666666,49.48585555555556,0.2130488052675396,0.004305246476508004
1747,2025-02-27 19:00:00+00:00,48.63185,48.28126666666667,48.8314,48.58150555555556,0.27850061656291947,0.005732646886466684
1748,2025-02-27 20:00:00+00:00,47.00828333333333,47.43143333333333,46.62315,47.02095555555556,0.40429064501685685,0.008598095045924467
1749,2025-02-27 21:00:00+00:00,46.012116666666664,47.25466666666667,46.79378333333333,46.68685555555555,0.6281383508992069,0.013454286938467007
1751,2025-02-27 23:00:00+00:00,43.526399999999995,42.9424,43.83553333333334,43.434777777777775,0.4535611992680626,0.010442351094521194
1752,2025-02-28 00:00:00+00:00,42.53751666666667,42.92518333333333,43.325,42.929233333333336,0.39375728811597227,0.009172241326989431
1753,2025-02-28 01:00:00+00:00,40.02011666666667,39.915216666666666,40.3375,40.09094444444444,0.21987094847087296,0.005484304536041963
1754,2025-02-28 02:00:00+00:00,36.40838333333333,36.99438333333333,37.287166666666664,36.89664444444444,0.44747033928187463,0.012127670307678903
1765,2025-02-28 13:00:00+00:00,41.907783333333334,41.98656666666667,41.288133333333334,41.727494444444446,0.382531492651743,0.009167372681842699
1768,2025-02-28 16:00:00+00:00,48.64551666666667,47.3762,47.71906666666667,47.91359444444444,0.6566368801056031,0.013704604877160072
1771,2025-02-28 19:00:00+00:00,49.0547,49.11628333333333,49.89096666666667,49.35398333333333,0.466059493996688,0.009443199160824669
1772,2025-02-28 20:00:00+00:00,50.513333333333335,49.791900000000005,50.05031666666666,50.118516666666665,0.3655201001465044,0.0072931148896034316
1773,2025-02-28 21:00:00+00:00,50.335166666666666,49.87493333333334,49.25265,49.820916666666676,0.5432761117618825,0.010904578801645541
1793,2025-03-01 17:00:00+00:00,45.466033333333336,44.360033333333334,44.9166,44.914222222222214,0.5530038339563039,0.012312443733751092
1794,2025-03-01 18:00:00+00:00,44.05958333333333,42.95375,43.38216666666666,43.465166666666654,0.5575693591633025,0.012827958614291967
1797,2025-03-01 21:00:00+00:00,44.81389795918367,43.69873333333333,43.698366666666665,44.07033265306122,0.6439464705725462,0.014611790558558813
1817,2025-03-02 17:00:00+00:00,47.7599,46.60616666666667,46.54293333333333,46.96966666666666,0.6850920773475979,0.014585840734394496
1818,2025-03-02 18:00:00+00:00,48.712383333333335,47.808,47.410666666666664,47.977016666666664,0.667114341981778,0.013904873381701405
1836,2025-03-03 12:00:00+00:00,36.2124,36.81231666666667,36.81293333333333,36.612550000000006,0.34654020249379974,0.009465066008617256
1843,2025-03-03 19:00:00+00:00,48.90365,49.298199999999994,49.54203333333333,49.2479611111111,0.3221432593381954,0.006541250684701237
1863,2025-03-04 15:00:00+00:00,44.989916666666666,44.01988333333334,44.177816666666665,44.39587222222223,0.5204827911909514,0.011723675313454597
1864,2025-03-04 16:00:00+00:00,46.859566666666666,45.86886666666667,46.1749,46.30111111111111,0.5072657645908349,0.010955801111846403
1865,2025-03-04 17:00:00+00:00,48.69371666666667,48.05641666666667,49.256483333333335,48.66887222222223,0.6004189669938189,0.012336816934082713
1868,2025-03-04 20:00:00+00:00,50.99081666666667,50.81411666666666,51.39458333333334,51.06650555555556,0.2975432635831395,0.00582658359615855
1869,2025-03-04 21:00:00+00:00,50.55381666666666,50.95916666666667,50.37093333333333,50.62797222222222,0.3010463393332109,0.005946245249796359
1870,2025-03-04 22:00:00+00:00,49.917116666666665,48.91851666666666,48.53461666666667,49.123416666666664,0.7136627845138043,0.014527954953875785
1877,2025-03-05 05:00:00+00:00,49.25358333333334,49.249233333333336,49.876916666666666,49.45991111111112,0.36114395419021805,0.007301750975227439
1885,2025-03-05 13:00:00+00:00,43.72238333333333,42.47211666666667,43.10381666666667,43.09943888888889,0.6251448297379935,0.014504709245742799
